Ticker,Exp,Initial,SharesReleased
ZM,10/15/2019,20.8
NKLA,11/30/2020,130
LYFT,09/25/2019,32.5
NET,03/11/2020,35
DDOG,03/17/2020,24
PTON,03/24/2020,40
BYND,10/29/2019,9.6
UBER,11/06/2019,180
CHWY,12/11/2019,46.5
FSLY,11/13/2019,11
PINS,10/15/2019,75
SNOW,12/15/2020,11.3
PD,10/08/2019,9
SNAP,07/31/2017,400
DKNG,10/20/2020,
TWTR,05/06/2014,470
PLAN,04/10/2019,15.5
ESTC,04/03/2019,7
DBX,09/19/2018,36
DOCU,10/24/2018,21.7
CRWD,12/9/2019,18
UPWK,04/01/2019,12.5
STNE,04/23/2019,16
NIO,03/11/2019,160
SMAR,10/24/2018,11.6
ZS,09/12/2018,12
